Time,Voltage(V),Current(A),Power(W),Leakage Current(mA),total_forward_energy(kWh),price(DZD)
2025-08-12 23:21:24,404.56,23.04,5.6,0,16.88,88.53719999999998
2025-08-12 23:21:34,402.0,23.04,4.6,0,16.88,88.53719999999998
2025-08-12 23:21:44,396.88,23.04,2.6,0,16.88,88.53719999999998
2025-08-12 23:21:54,396.88,23.04,0.6,0,16.88,88.53719999999998
2025-08-12 23:22:04,399.44,20.48,25.2,0,16.88,88.53719999999998
2025-08-12 23:22:14,399.44,23.04,0.6,0,16.89,88.53719999999998
2025-08-12 23:22:24,402.0,23.04,18.6,0,16.89,88.53719999999998
2025-08-12 23:22:34,417.36,23.04,19.6,0,16.89,88.53719999999998
2025-08-12 23:22:45,407.12,23.04,19.6,0,16.89,88.53719999999998
2025-08-12 23:22:55,404.56,23.04,20.6,0,16.89,88.53719999999998
2025-08-12 23:23:05,414.8,23.04,22.6,0,16.89,88.53719999999998
2025-08-12 23:23:15,412.24,23.04,21.6,0,16.89,88.53719999999998
2025-08-12 23:23:25,394.32,23.04,21.6,0,16.89,88.53719999999998
2025-08-12 23:23:35,407.12,23.04,19.6,0,16.9,88.53719999999998
2025-08-12 23:23:45,407.12,23.04,19.6,0,16.9,88.53719999999998
2025-08-12 23:23:56,409.68,23.04,20.6,0,16.9,88.53719999999998
2025-08-12 23:24:06,381.52,23.04,23.6,0,16.9,88.53719999999998
2025-08-12 23:24:16,378.96,23.04,23.6,0,16.9,88.53719999999998
2025-08-12 23:24:26,389.2,25.6,0.0,0,16.9,88.53719999999998
2025-08-12 23:24:36,389.2,23.04,24.6,0,16.9,88.53719999999998
2025-08-12 23:24:46,389.2,23.04,22.6,0,16.9,88.53719999999998
2025-08-12 23:24:56,399.44,23.04,17.6,0,16.9,88.53719999999998
2025-08-12 23:25:06,417.36,23.04,5.6,0,16.91,88.53719999999998
2025-08-12 23:25:17,407.12,23.04,21.6,0,16.91,88.53719999999998
2025-08-12 23:25:27,386.64,23.04,23.6,0,16.91,88.53719999999998
2025-08-12 23:25:37,389.2,23.04,23.6,0,16.91,88.53719999999998
2025-08-12 23:25:47,373.84,23.04,16.6,0,16.91,88.53719999999998
2025-08-12 23:25:57,386.64,23.04,3.6,0,16.91,88.53719999999998
2025-08-12 23:26:07,381.52,23.04,4.6,0,16.91,88.53719999999998
2025-08-12 23:26:17,384.08,23.04,3.6,0,16.91,88.53719999999998
2025-08-12 23:26:27,384.08,23.04,3.6,0,16.91,88.53719999999998
2025-08-12 23:26:37,389.2,23.04,3.6,0,16.92,88.53719999999998
2025-08-12 23:26:48,381.52,23.04,4.6,0,16.92,88.53719999999998
2025-08-12 23:26:58,394.32,23.04,3.6,0,16.92,88.53719999999998
2025-08-12 23:27:08,389.2,23.04,6.6,0,16.92,88.53719999999998
2025-08-12 23:27:18,394.32,23.04,4.6,0,16.92,88.53719999999998
2025-08-12 23:27:28,389.2,23.04,7.6,0,16.92,88.53719999999998
2025-08-12 23:27:38,391.76,23.04,2.6,0,16.92,88.53719999999998
2025-08-12 23:27:48,391.76,23.04,5.6,0,16.92,88.53719999999998
2025-08-12 23:27:58,402.0,23.04,5.6,0,16.92,88.53719999999998
2025-08-12 23:28:08,399.44,23.04,1.6,0,16.93,88.53719999999998
2025-08-12 23:28:18,399.44,23.04,0.6,0,16.93,88.53719999999998
2025-08-12 23:28:29,394.32,23.04,1.6,0,16.93,88.53719999999998
2025-08-12 23:28:39,389.2,23.04,0.6,0,16.93,88.53719999999998
2025-08-12 23:28:49,391.76,23.04,0.6,0,16.93,88.53719999999998
2025-08-12 23:28:59,391.76,20.48,16.2,0,16.93,88.53719999999998
2025-08-12 23:29:09,412.24,17.92,23.8,0,16.93,88.53719999999998
2025-08-12 23:29:19,361.04,17.92,15.8,0,16.93,88.53719999999998
2025-08-12 23:29:29,371.28,17.92,15.8,0,16.93,88.53719999999998
2025-08-12 23:29:39,361.04,17.92,17.8,0,16.93,88.53719999999998
2025-08-12 23:29:49,368.72,17.92,15.8,0,16.94,88.53719999999998
2025-08-12 23:29:59,371.28,17.92,15.8,0,16.94,88.53719999999998
2025-08-12 23:30:10,376.4,12.8,13.0,0,16.94,88.53719999999998
2025-08-12 23:30:20,378.96,12.8,12.0,0,16.94,88.53719999999998
2025-08-12 23:30:30,373.84,12.8,12.0,0,16.94,88.53719999999998
2025-08-12 23:30:40,381.52,12.8,13.0,0,16.94,88.53719999999998
2025-08-12 23:30:50,376.4,12.8,12.0,0,16.94,88.53719999999998
2025-08-12 23:31:00,373.84,12.8,12.0,0,16.94,88.53719999999998
2025-08-12 23:31:10,381.52,15.36,3.4,0,16.94,88.53719999999998
2025-08-12 23:31:20,373.84,15.36,0.4,0,16.94,88.53719999999998
2025-08-12 23:31:31,376.4,15.36,0.4,0,16.94,88.53719999999998
2025-08-12 23:31:41,386.64,12.8,25.0,0,16.94,88.53719999999998
2025-08-12 23:31:51,386.64,15.36,0.4,0,16.94,88.53719999999998
2025-08-12 23:32:01,389.2,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:32:11,381.52,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:32:21,384.08,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:32:31,386.64,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:32:41,391.76,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:32:51,391.76,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:33:02,396.88,12.8,18.0,0,16.95,88.53719999999998
